contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,aa3082aab224725aeb2fd70a66a657da2f226778cc803ce984750f657b23b95a,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,1a6d9f6944d3a4ab8aee2894617523db5d87907f0e6d52cdf17170293bd8f847,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,380757c8447909c8c62eb67a7b8483c9734af542b266119c3023dbf883086336,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,8a6c0b3b490cd63c243bf9cac2ad97d4d58eeabe0ac5d01b1e13b45231e2ee5e,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
vice-president/cand0,4850,4850,0,true,4850,129e69641ba1fffcc7f059593fd4410f5684987dc7fa01286d9597529428f37c,f05a12b4f00080bf1afff89be2413e492c724ed9bf51ac435b51089b1cd67c61,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
vice-president/cand1,1866,1866,0,true,1866,a4610f3631b8cbe0d849ed491548f775987055a4b999680181c384b033169c42,54dbd466df4f8a237a89f0b026b472836293267ef4c6d3066f10cea1d2e95b65,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
vice-president/cand2,1717,1717,0,true,1717,dad55580f998f37cc466c267d7c401040fc8b614c1612ff361c3dd969085d71b,304f3657c0ff823b462d44a88880268f9e2438f6a294d03ca066253ba4901456,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
vice-president/cand3,1567,1567,0,true,1567,26a7714060fc69a124d402fa5ac267dab214de5f3b9382a832ee24cd0a6fd740,86533e02492a0f606d18fb5d734dc25346465aaafb23bbf7081ac11ddfdb5d17,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
senator/cand0,4800,4800,0,true,4800,e86754102a6b08f65efa43f066a0574ca86472d94630e0fb6f7c93d21922a562,e48bee3bea5e5c42c099d073958b4bc1e1f66091ff85d1f3a89722e4796c0d78,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
senator/cand1,1933,1933,0,true,1933,54950645895e5652ba63c1866143d9604cdabb3256ad1c3e4b1c7fa66773165a,b08d91d895f2689f7f67d8d02cc918b1d0432c7993c0003b1ecf1e6a7ad8731f,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
senator/cand2,1733,1733,0,true,1733,48cc7b496f1d5d608da498367977fc64259f4f84eb3f7c189e1b245cad58bc58,eadcc7b18bdc6280c1a8e63361912d9f3d461adb1a3232ff78687ebfca181e0f,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
senator/cand3,1534,1534,0,true,1534,d803c278e023e750c2e3be5675a1f5cff95881f2abf1e3c4c3244ed510282e7a,aacd7a854ba5ca31648cf0d9430689f8518c15c88419177dfa5cc793ec32175c,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,768a364b070a3faf466520e8658b07ce87240658bc28744f9c6f1c06f7c992b8,local,true
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,aa3082aab224725aeb2fd70a66a657da2f226778cc803ce984750f657b23b95a,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,6e02a114d67687df275ade51c8c3e7f666dea4c3f775b1e6a4cabc6ba0b83f4a,ledger,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,1a6d9f6944d3a4ab8aee2894617523db5d87907f0e6d52cdf17170293bd8f847,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,6e02a114d67687df275ade51c8c3e7f666dea4c3f775b1e6a4cabc6ba0b83f4a,ledger,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,380757c8447909c8c62eb67a7b8483c9734af542b266119c3023dbf883086336,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,6e02a114d67687df275ade51c8c3e7f666dea4c3f775b1e6a4cabc6ba0b83f4a,ledger,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,8a6c0b3b490cd63c243bf9cac2ad97d4d58eeabe0ac5d01b1e13b45231e2ee5e,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,6e02a114d67687df275ade51c8c3e7f666dea4c3f775b1e6a4cabc6ba0b83f4a,ledger,true
vice-president/cand0,4850,4850,0,true,4850,129e69641ba1fffcc7f059593fd4410f5684987dc7fa01286d9597529428f37c,f05a12b4f00080bf1afff89be2413e492c724ed9bf51ac435b51089b1cd67c61,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,6e02a114d67687df275ade51c8c3e7f666dea4c3f775b1e6a4cabc6ba0b83f4a,ledger,true
vice-president/cand1,1866,1866,0,true,1866,a4610f3631b8cbe0d849ed491548f775987055a4b999680181c384b033169c42,54dbd466df4f8a237a89f0b026b472836293267ef4c6d3066f10cea1d2e95b65,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,6e02a114d67687df275ade51c8c3e7f666dea4c3f775b1e6a4cabc6ba0b83f4a,ledger,true
vice-president/cand2,1717,1717,0,true,1717,dad55580f998f37cc466c267d7c401040fc8b614c1612ff361c3dd969085d71b,304f3657c0ff823b462d44a88880268f9e2438f6a294d03ca066253ba4901456,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,6e02a114d67687df275ade51c8c3e7f666dea4c3f775b1e6a4cabc6ba0b83f4a,ledger,true
vice-president/cand3,1567,1567,0,true,1567,26a7714060fc69a124d402fa5ac267dab214de5f3b9382a832ee24cd0a6fd740,86533e02492a0f606d18fb5d734dc25346465aaafb23bbf7081ac11ddfdb5d17,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,6e02a114d67687df275ade51c8c3e7f666dea4c3f775b1e6a4cabc6ba0b83f4a,ledger,true
senator/cand0,4800,4800,0,true,4800,e86754102a6b08f65efa43f066a0574ca86472d94630e0fb6f7c93d21922a562,e48bee3bea5e5c42c099d073958b4bc1e1f66091ff85d1f3a89722e4796c0d78,1131ed2dab22bca3dc384e9f5cf8374ded4b68f699fba50334941c3ddf3456af,a2c91a863055fa047055d79891468e522c99db93550b216f79aa567cae401be4,6e02a114d67687df275ade51c8c3e7f666dea4c3f775b1e6a4cabc6ba0b83f4a,ledger,true
