contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,1c5740762d525baf6acbf041bf46c303aeb460ea283fbfae2c7a2112d7418d58,0fb7224c16bb18d8c895abe0eefbbf37091df4441b74171b0ba369a9f9bccf4a,4ac22d7fdbed42e71a7241960ac29705c1722b0f5550dde0cd393e9fd3d4bbf1,5ec01a13abff52b920e2b9b9352811fcd518e289e3048c4bbaaa7f410b13486d,local,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,26f8d4c605811da6fcb25feff0451b2485f591d4de62525cf97402fc7c964e74,0fb7224c16bb18d8c895abe0eefbbf37091df4441b74171b0ba369a9f9bccf4a,4ac22d7fdbed42e71a7241960ac29705c1722b0f5550dde0cd393e9fd3d4bbf1,5ec01a13abff52b920e2b9b9352811fcd518e289e3048c4bbaaa7f410b13486d,local,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,307487061ac73268ca560778f8dcc866db95597524ce8ad6cbf9814e59722070,0fb7224c16bb18d8c895abe0eefbbf37091df4441b74171b0ba369a9f9bccf4a,4ac22d7fdbed42e71a7241960ac29705c1722b0f5550dde0cd393e9fd3d4bbf1,5ec01a13abff52b920e2b9b9352811fcd518e289e3048c4bbaaa7f410b13486d,local,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,0c397252a3c78508f4be9b2322200d6f4b518e70bf1934885f9d98c81e7c9a68,0fb7224c16bb18d8c895abe0eefbbf37091df4441b74171b0ba369a9f9bccf4a,4ac22d7fdbed42e71a7241960ac29705c1722b0f5550dde0cd393e9fd3d4bbf1,5ec01a13abff52b920e2b9b9352811fcd518e289e3048c4bbaaa7f410b13486d,local,true
vice-president/cand0,4850,4850,0,true,4850,129e69641ba1fffcc7f059593fd4410f5684987dc7fa01286d9597529428f37c,f0d4bca946c371187a445deed7d1d85acf976a70c623596905365439d7f6f510,0fb7224c16bb18d8c895abe0eefbbf37091df4441b74171b0ba369a9f9bccf4a,4ac22d7fdbed42e71a7241960ac29705c1722b0f5550dde0cd393e9fd3d4bbf1,5ec01a13abff52b920e2b9b9352811fcd518e289e3048c4bbaaa7f410b13486d,local,true
vice-president/cand1,1866,1866,0,true,1866,a4610f3631b8cbe0d849ed491548f775987055a4b999680181c384b033169c42,5c2d76b6cb1040e73eb15da394c86692cf2121e78f30f6a04df8b6662256c124,0fb7224c16bb18d8c895abe0eefbbf37091df4441b74171b0ba369a9f9bccf4a,4ac22d7fdbed42e71a7241960ac29705c1722b0f5550dde0cd393e9fd3d4bbf1,5ec01a13abff52b920e2b9b9352811fcd518e289e3048c4bbaaa7f410b13486d,local,true
vice-president/cand2,1717,1717,0,true,1717,dad55580f998f37cc466c267d7c401040fc8b614c1612ff361c3dd969085d71b,7cfe2069e8686012b899c780aeba74e9436d5dc082648781efcf99befbc22c71,0fb7224c16bb18d8c895abe0eefbbf37091df4441b74171b0ba369a9f9bccf4a,4ac22d7fdbed42e71a7241960ac29705c1722b0f5550dde0cd393e9fd3d4bbf1,5ec01a13abff52b920e2b9b9352811fcd518e289e3048c4bbaaa7f410b13486d,local,true
vice-president/cand3,1567,1567,0,true,1567,26a7714060fc69a124d402fa5ac267dab214de5f3b9382a832ee24cd0a6fd740,7ea9dd094b84a10ccf8a94c064cc2f0ac3176e9958ef54be52b91a71d02efd05,0fb7224c16bb18d8c895abe0eefbbf37091df4441b74171b0ba369a9f9bccf4a,4ac22d7fdbed42e71a7241960ac29705c1722b0f5550dde0cd393e9fd3d4bbf1,5ec01a13abff52b920e2b9b9352811fcd518e289e3048c4bbaaa7f410b13486d,local,true
senator/cand0,4800,4800,0,true,4800,e86754102a6b08f65efa43f066a0574ca86472d94630e0fb6f7c93d21922a562,80006a85566dfc6010b0ed78512e07e2e5eea89a807373de24758f0363ab7e7d,0fb7224c16bb18d8c895abe0eefbbf37091df4441b74171b0ba369a9f9bccf4a,4ac22d7fdbed42e71a7241960ac29705c1722b0f5550dde0cd393e9fd3d4bbf1,5ec01a13abff52b920e2b9b9352811fcd518e289e3048c4bbaaa7f410b13486d,local,true
senator/cand1,1933,1933,0,true,1933,54950645895e5652ba63c1866143d9604cdabb3256ad1c3e4b1c7fa66773165a,023ec8fec9f5190d1876018ab9a39668c2662ede8469477e6d1ef8189121ba5d,0fb7224c16bb18d8c895abe0eefbbf37091df4441b74171b0ba369a9f9bccf4a,4ac22d7fdbed42e71a7241960ac29705c1722b0f5550dde0cd393e9fd3d4bbf1,5ec01a13abff52b920e2b9b9352811fcd518e289e3048c4bbaaa7f410b13486d,local,true
