contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,c84edaf8ad88b62fe5def6c09bfccd545ba36b3365333a6be496d4fb492b054a,dbc86ddac0c17511a96946d682f04cd09d53c64b23852bebfc2b19bb5d5b65a7,619e1f41a30ed5c936b268cb1fba18773b96be375a115f9face0fd4b6b7aac6c,597d760b055faee638024a9b96901bdca25c7200cd48b1f9d2a2937a8295849c,local,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,12abc3f0ee0a31301933ead2ba388327e69e469e084d0aa539b29f8c368cde2f,dbc86ddac0c17511a96946d682f04cd09d53c64b23852bebfc2b19bb5d5b65a7,619e1f41a30ed5c936b268cb1fba18773b96be375a115f9face0fd4b6b7aac6c,597d760b055faee638024a9b96901bdca25c7200cd48b1f9d2a2937a8295849c,local,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,521cd37257a6229db5c15ea607d5bda65d04d426ec25b1346923e357230d4c0d,dbc86ddac0c17511a96946d682f04cd09d53c64b23852bebfc2b19bb5d5b65a7,619e1f41a30ed5c936b268cb1fba18773b96be375a115f9face0fd4b6b7aac6c,597d760b055faee638024a9b96901bdca25c7200cd48b1f9d2a2937a8295849c,local,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,78c98ea6ac427b157269b38349fc0dd8314b520d49f96dcb8de18a062e8cf23e,dbc86ddac0c17511a96946d682f04cd09d53c64b23852bebfc2b19bb5d5b65a7,619e1f41a30ed5c936b268cb1fba18773b96be375a115f9face0fd4b6b7aac6c,597d760b055faee638024a9b96901bdca25c7200cd48b1f9d2a2937a8295849c,local,true
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,c84edaf8ad88b62fe5def6c09bfccd545ba36b3365333a6be496d4fb492b054a,dbc86ddac0c17511a96946d682f04cd09d53c64b23852bebfc2b19bb5d5b65a7,619e1f41a30ed5c936b268cb1fba18773b96be375a115f9face0fd4b6b7aac6c,d040b8afb84f41bb0389414746d05aeacb48f03a0d3c0b3bda87df98c3a2eb1f,ledger,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,12abc3f0ee0a31301933ead2ba388327e69e469e084d0aa539b29f8c368cde2f,dbc86ddac0c17511a96946d682f04cd09d53c64b23852bebfc2b19bb5d5b65a7,619e1f41a30ed5c936b268cb1fba18773b96be375a115f9face0fd4b6b7aac6c,d040b8afb84f41bb0389414746d05aeacb48f03a0d3c0b3bda87df98c3a2eb1f,ledger,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,521cd37257a6229db5c15ea607d5bda65d04d426ec25b1346923e357230d4c0d,dbc86ddac0c17511a96946d682f04cd09d53c64b23852bebfc2b19bb5d5b65a7,619e1f41a30ed5c936b268cb1fba18773b96be375a115f9face0fd4b6b7aac6c,d040b8afb84f41bb0389414746d05aeacb48f03a0d3c0b3bda87df98c3a2eb1f,ledger,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,78c98ea6ac427b157269b38349fc0dd8314b520d49f96dcb8de18a062e8cf23e,dbc86ddac0c17511a96946d682f04cd09d53c64b23852bebfc2b19bb5d5b65a7,619e1f41a30ed5c936b268cb1fba18773b96be375a115f9face0fd4b6b7aac6c,d040b8afb84f41bb0389414746d05aeacb48f03a0d3c0b3bda87df98c3a2eb1f,ledger,true
