contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,5288778d90f1f4ca800aa755e38e96714509f7e2eb16461f9be06856bbf00d52,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,b24b7e24962f34b1af8a8908dd4cebabbb87aa917e73ca039aed4b0d3e4ecd34,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,a03eb0b49d4bf4aeec805c54830b5dba9d417993e5e26080b0a1813fadaa815d,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,6269a51efc1a224f506448abac47ab58f7ad7aef2321bd23e8a4ff90f1c5b06b,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
vice-president/cand0,4850,4850,0,true,4850,129e69641ba1fffcc7f059593fd4410f5684987dc7fa01286d9597529428f37c,24a905ca5822aa76a4d30018a376f15d38a8817a598e078e8cd466403f091758,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
vice-president/cand1,1866,1866,0,true,1866,a4610f3631b8cbe0d849ed491548f775987055a4b999680181c384b033169c42,5691d3224a128907441e786a0e6b03518dbe70aca1256e4df0fb86308ce85735,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
vice-president/cand2,1717,1717,0,true,1717,dad55580f998f37cc466c267d7c401040fc8b614c1612ff361c3dd969085d71b,c48bffa90a3ffa59e4a29087563e44efa924751243bfc324b8ef8252885f2454,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
vice-president/cand3,1567,1567,0,true,1567,26a7714060fc69a124d402fa5ac267dab214de5f3b9382a832ee24cd0a6fd740,be5766242572ce6fbad9c84ca7aa25a665fa1b73fcbe4a48f0bb4c04dcbc9c65,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
senator/cand0,4800,4800,0,true,4800,e86754102a6b08f65efa43f066a0574ca86472d94630e0fb6f7c93d21922a562,1e08ae08d693254655be9bb8f0b64a328e05d931b3f55094d1d2a08d31ddbb72,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
senator/cand1,1933,1933,0,true,1933,54950645895e5652ba63c1866143d9604cdabb3256ad1c3e4b1c7fa66773165a,c49221dbf043e7475ebcfc7843eb6b456ccd8bee4c3e01ad9d0d476e850d6f37,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
senator/cand2,1733,1733,0,true,1733,48cc7b496f1d5d608da498367977fc64259f4f84eb3f7c189e1b245cad58bc58,581e7b96f0ad19ff849095246831856f27ed00dfc274d695491c74aaff80c07a,1a3c699126bc5735d857645ae038630aac9bcbb119f117d194d83374a717b5c8,cbe374c2f1bbe4c8bb7bde6201043253b03465f21e88b162ccb0a3e7e03f9782,942ddcd0103ab2c7c0c08179166687c37b3d7a7b31ab72d7552b3e510c794b6c,local,true
