contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,58d033b094afb20b3552ea66c35c96cc6cb34e3b14b6c0e702efb25e516bc404,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,34cda5366ba6213f430941e90ec59e749f7c98253d06e885bec8993197da4151,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,24af9af3b1be5a9f28657a9c43209048dc0f89b93fd18e81a916c4a27730f45c,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,300062ffa1926890489c168d617c9367f7ba1343711da8768f4e9f6fa4c9816b,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
vice-president/cand0,4850,4850,0,true,4850,129e69641ba1fffcc7f059593fd4410f5684987dc7fa01286d9597529428f37c,b64240703e5ac11f24090a0b8527b7c8c6c7f7d80d46ce040f7db2d63e4e260e,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
vice-president/cand1,1866,1866,0,true,1866,a4610f3631b8cbe0d849ed491548f775987055a4b999680181c384b033169c42,4255956e449514fba7b7869ba4a0202fba282e3a135081580c9e6c1d57d76f44,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
vice-president/cand2,1717,1717,0,true,1717,dad55580f998f37cc466c267d7c401040fc8b614c1612ff361c3dd969085d71b,58aa9989d9ae7e563e227dc939823b151124185dd67dcef77e5bfc6c925f9109,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
vice-president/cand3,1567,1567,0,true,1567,26a7714060fc69a124d402fa5ac267dab214de5f3b9382a832ee24cd0a6fd740,1e04c5d64da0b9fadb476ed045198041a9b9074dd921a65b33f2375220b1924d,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
senator/cand0,4800,4800,0,true,4800,e86754102a6b08f65efa43f066a0574ca86472d94630e0fb6f7c93d21922a562,62743678ffbc6422bc40f3794b125ec21b3bfc0950f2195897e35ea8b5fc6d7f,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
senator/cand1,1933,1933,0,true,1933,54950645895e5652ba63c1866143d9604cdabb3256ad1c3e4b1c7fa66773165a,e4f631aa2bb0a2f74df412fd621d98a12fbfd6db81353b03a8edfbe42e97de3b,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
senator/cand2,1733,1733,0,true,1733,48cc7b496f1d5d608da498367977fc64259f4f84eb3f7c189e1b245cad58bc58,04869e5561ea4ca1d455a398f7a2edd7f053af86b156ff618046a6244d7b9261,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
senator/cand3,1534,1534,0,true,1534,d803c278e023e750c2e3be5675a1f5cff95881f2abf1e3c4c3244ed510282e7a,22f850fbefbc3fea261152145781839fe238f8ad76cb907fc1fac9e48ab52a10,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,f3b120e520a20fed2ea756642752a729af9266a7529c24863b757eb9a7a24788,local,true
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,58d033b094afb20b3552ea66c35c96cc6cb34e3b14b6c0e702efb25e516bc404,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,1f6784543d22938d9e50024fb47f4c4f888376323236b55fb609451081c07fc6,ledger,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,34cda5366ba6213f430941e90ec59e749f7c98253d06e885bec8993197da4151,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,1f6784543d22938d9e50024fb47f4c4f888376323236b55fb609451081c07fc6,ledger,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,24af9af3b1be5a9f28657a9c43209048dc0f89b93fd18e81a916c4a27730f45c,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,1f6784543d22938d9e50024fb47f4c4f888376323236b55fb609451081c07fc6,ledger,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,300062ffa1926890489c168d617c9367f7ba1343711da8768f4e9f6fa4c9816b,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,1f6784543d22938d9e50024fb47f4c4f888376323236b55fb609451081c07fc6,ledger,true
vice-president/cand0,4850,4850,0,true,4850,129e69641ba1fffcc7f059593fd4410f5684987dc7fa01286d9597529428f37c,b64240703e5ac11f24090a0b8527b7c8c6c7f7d80d46ce040f7db2d63e4e260e,8a71a312e33b4d3e5d63e6ef6d7e777bfc3e6f61bcea948971e697518648431f,e8f4824dea9b90a78658ad53622362b6440f0eb08a0271cfa1516f45e7a50862,1f6784543d22938d9e50024fb47f4c4f888376323236b55fb609451081c07fc6,ledger,true
