label,window_start,window_end,blocks,ballots,avg_per_block,max_per_block,gaps_ge_3s,max_gap_s,slow_fsync_count,slow_fsync_seconds,org1_commit_p50_ms,org1_commit_max_ms,org2_commit_p50_ms,org2_commit_max_ms
otune-default-c96,2026-09-11T10:47:08Z,2026-09-11T10:47:48Z,1000,10000,10.0,10,0,1,0,0.000,16.0,54.0,16.0,55.0
otune-default-c192,2026-09-11T10:49:28Z,2026-09-11T10:50:09Z,1000,10000,10.0,10,0,1,0,0.000,18.0,64.0,17.0,44.0
otune-tuned-batch-only-c96,2026-09-11T10:53:35Z,2026-09-11T10:57:32Z,105,10000,95.2,96,9,3,0,0.000,21.0,101.0,22.0,93.0
otune-tuned-batch-only-c192,2026-09-11T10:59:12Z,2026-09-11T11:01:23Z,53,10000,188.7,192,7,3,0,0.000,34.0,53.0,34.0,72.0
otune-b50-t2s-c96,2026-09-11T11:05:00Z,2026-09-11T11:05:32Z,200,10000,50.0,50,0,1,0,0.000,15.0,30.0,15.0,31.0
otune-b50-t2s-c192,2026-09-11T11:07:01Z,2026-09-11T11:07:31Z,200,10000,50.0,50,0,1,0,0.000,38.0,75.0,25.0,49.0
otune-b500-t250ms-c96,2026-09-11T11:10:44Z,2026-09-11T11:11:39Z,105,10000,95.2,96,0,1,0,0.000,22.0,36.0,22.0,34.0
otune-b500-t250ms-c192,2026-09-11T11:12:34Z,2026-09-11T11:13:14Z,53,10000,188.7,192,0,1,0,0.000,30.0,56.0,30.0,78.0
