contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,c290b9107d7bf0ca54e8dae008f889ee06d12f4a653a302d2e852c7e54317d4f,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,c25bb66aa91b1822a7c4d0c67f4872e96e84377605422b2816422f9a37acfc31,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,56c5e5ab5a6a08cd23c356dcc9f9b522e45f12423f3d537e44819d794a03531f,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,1aff59521bd5cb171af7a0ddd44afe32345b11aa04a99559dc5840ccc803c13e,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
vice-president/cand0,4850,4850,0,true,4850,129e69641ba1fffcc7f059593fd4410f5684987dc7fa01286d9597529428f37c,be7fc1f2af3eb2c8b679ba70ff9c5136d8b201935f4395bd9da90c3c0b909c0a,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
vice-president/cand1,1866,1866,0,true,1866,a4610f3631b8cbe0d849ed491548f775987055a4b999680181c384b033169c42,86c77ec36ac7d3cc74c4e955b0f131fd6d6575e294762d9ba1fda6d7e045fb53,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
vice-president/cand2,1717,1717,0,true,1717,dad55580f998f37cc466c267d7c401040fc8b614c1612ff361c3dd969085d71b,36ea7ee3f7fabe67db20aa30d1f400eb0c8e3361b26ec9eb70b65385c37b4b52,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
vice-president/cand3,1567,1567,0,true,1567,26a7714060fc69a124d402fa5ac267dab214de5f3b9382a832ee24cd0a6fd740,b222cd1d8333ee6d750f4b30dcaea60e023c3fae106ceb25154055d9ef757919,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
senator/cand0,4800,4800,0,true,4800,e86754102a6b08f65efa43f066a0574ca86472d94630e0fb6f7c93d21922a562,f89729d1b3abb6928e08d48b7ba89903bd9084fc3f7c2dc14c974c5af5120e09,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
senator/cand1,1933,1933,0,true,1933,54950645895e5652ba63c1866143d9604cdabb3256ad1c3e4b1c7fa66773165a,82cc183c4fe4de3d7e534bf06debcd9a5cbf5aa61bfe1cfdd16f8539af49f45b,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
senator/cand2,1733,1733,0,true,1733,48cc7b496f1d5d608da498367977fc64259f4f84eb3f7c189e1b245cad58bc58,2a71a428d097199b9ef57588154479e2c8d318581ed7f057ce0cf7f2ad59820f,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
senator/cand3,1534,1534,0,true,1534,d803c278e023e750c2e3be5675a1f5cff95881f2abf1e3c4c3244ed510282e7a,301d6fd0c53e8002ee1c8c40b72eb3c7e655525f9998b57633890131c769826c,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,01fc47cbd116bf77adf5ff8c895c6932b54b0e4b8a9a5c80b09aca6e57eb0b06,local,true
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,c290b9107d7bf0ca54e8dae008f889ee06d12f4a653a302d2e852c7e54317d4f,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,c25bb66aa91b1822a7c4d0c67f4872e96e84377605422b2816422f9a37acfc31,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,56c5e5ab5a6a08cd23c356dcc9f9b522e45f12423f3d537e44819d794a03531f,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,1aff59521bd5cb171af7a0ddd44afe32345b11aa04a99559dc5840ccc803c13e,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
vice-president/cand0,4850,4850,0,true,4850,129e69641ba1fffcc7f059593fd4410f5684987dc7fa01286d9597529428f37c,be7fc1f2af3eb2c8b679ba70ff9c5136d8b201935f4395bd9da90c3c0b909c0a,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
vice-president/cand1,1866,1866,0,true,1866,a4610f3631b8cbe0d849ed491548f775987055a4b999680181c384b033169c42,86c77ec36ac7d3cc74c4e955b0f131fd6d6575e294762d9ba1fda6d7e045fb53,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
vice-president/cand2,1717,1717,0,true,1717,dad55580f998f37cc466c267d7c401040fc8b614c1612ff361c3dd969085d71b,36ea7ee3f7fabe67db20aa30d1f400eb0c8e3361b26ec9eb70b65385c37b4b52,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
vice-president/cand3,1567,1567,0,true,1567,26a7714060fc69a124d402fa5ac267dab214de5f3b9382a832ee24cd0a6fd740,b222cd1d8333ee6d750f4b30dcaea60e023c3fae106ceb25154055d9ef757919,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
senator/cand0,4800,4800,0,true,4800,e86754102a6b08f65efa43f066a0574ca86472d94630e0fb6f7c93d21922a562,f89729d1b3abb6928e08d48b7ba89903bd9084fc3f7c2dc14c974c5af5120e09,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
senator/cand1,1933,1933,0,true,1933,54950645895e5652ba63c1866143d9604cdabb3256ad1c3e4b1c7fa66773165a,82cc183c4fe4de3d7e534bf06debcd9a5cbf5aa61bfe1cfdd16f8539af49f45b,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
senator/cand2,1733,1733,0,true,1733,48cc7b496f1d5d608da498367977fc64259f4f84eb3f7c189e1b245cad58bc58,2a71a428d097199b9ef57588154479e2c8d318581ed7f057ce0cf7f2ad59820f,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
senator/cand3,1534,1534,0,true,1534,d803c278e023e750c2e3be5675a1f5cff95881f2abf1e3c4c3244ed510282e7a,301d6fd0c53e8002ee1c8c40b72eb3c7e655525f9998b57633890131c769826c,ef8fbf9e2b8ea9e3914b48fb5b207353f590d0677af0b6735ca06f94a65b7430,1c4e51c4f8dca00151650f6fc1257f2bc9675d55767eca267ecc5ad878b02c4d,20094da2ad57b9d0c94ae30014938bc804874efc4491992eda127e739486de60,ledger,true
