contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,ee586989635bcf2ae92ce18c8339c4d3aff756277d4c82acc9b390a3af11f864,8223ee3d33a049f746472171c2624cccd42560e3af2bc325e8af337a1a8f65b4,af99dc61897e9cce79b54de0a8e4d8d5b62abd3f4bf5a027469c083a55daa55a,f619b7b5b862cc0f2c4072029ea2e670890ef86a06ebddb030581b95861438cd,local,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,143c54e922189b7b488eb7bc1641b3831a2fae1a6213ca3b20c9a0b2a4ae1035,8223ee3d33a049f746472171c2624cccd42560e3af2bc325e8af337a1a8f65b4,af99dc61897e9cce79b54de0a8e4d8d5b62abd3f4bf5a027469c083a55daa55a,f619b7b5b862cc0f2c4072029ea2e670890ef86a06ebddb030581b95861438cd,local,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,062ce64735516212cb18ff27e6d89084b00bf44940acb3f34fe8eb6c5518b55a,8223ee3d33a049f746472171c2624cccd42560e3af2bc325e8af337a1a8f65b4,af99dc61897e9cce79b54de0a8e4d8d5b62abd3f4bf5a027469c083a55daa55a,f619b7b5b862cc0f2c4072029ea2e670890ef86a06ebddb030581b95861438cd,local,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,306959db2d3b612854838ce20ea9c4613b8558ad0a2392452ab803109422aa1a,8223ee3d33a049f746472171c2624cccd42560e3af2bc325e8af337a1a8f65b4,af99dc61897e9cce79b54de0a8e4d8d5b62abd3f4bf5a027469c083a55daa55a,f619b7b5b862cc0f2c4072029ea2e670890ef86a06ebddb030581b95861438cd,local,true
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,ee586989635bcf2ae92ce18c8339c4d3aff756277d4c82acc9b390a3af11f864,8223ee3d33a049f746472171c2624cccd42560e3af2bc325e8af337a1a8f65b4,af99dc61897e9cce79b54de0a8e4d8d5b62abd3f4bf5a027469c083a55daa55a,184dd38b1ca518d045b4f4ea2f2a36dd1f85f9550ac8b135db0082b1ff4931de,ledger,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,143c54e922189b7b488eb7bc1641b3831a2fae1a6213ca3b20c9a0b2a4ae1035,8223ee3d33a049f746472171c2624cccd42560e3af2bc325e8af337a1a8f65b4,af99dc61897e9cce79b54de0a8e4d8d5b62abd3f4bf5a027469c083a55daa55a,184dd38b1ca518d045b4f4ea2f2a36dd1f85f9550ac8b135db0082b1ff4931de,ledger,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,062ce64735516212cb18ff27e6d89084b00bf44940acb3f34fe8eb6c5518b55a,8223ee3d33a049f746472171c2624cccd42560e3af2bc325e8af337a1a8f65b4,af99dc61897e9cce79b54de0a8e4d8d5b62abd3f4bf5a027469c083a55daa55a,184dd38b1ca518d045b4f4ea2f2a36dd1f85f9550ac8b135db0082b1ff4931de,ledger,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,306959db2d3b612854838ce20ea9c4613b8558ad0a2392452ab803109422aa1a,8223ee3d33a049f746472171c2624cccd42560e3af2bc325e8af337a1a8f65b4,af99dc61897e9cce79b54de0a8e4d8d5b62abd3f4bf5a027469c083a55daa55a,184dd38b1ca518d045b4f4ea2f2a36dd1f85f9550ac8b135db0082b1ff4931de,ledger,true
