contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,80d9b50c63ec012298ca998e1a3311bb81e6ec7db66432afca24e4a33d6d6f4b,96abcdc27017e551fa2e9132c6f05977eecd0fee1fb286e5d6d0d75c8928e7f0,8ec1044aedfe7719cba0e1afc2edd527c7584a324bd1063230f98e63cd6859d8,4ecd8d23a25e3a3a0d8c8e712571c1b239bbcfdbc6b6027183a93739ad309eb6,local,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,78d2ff5e020b41d35d42aab470279ece47aa70da3e8be5e45a946bf93a2ea626,96abcdc27017e551fa2e9132c6f05977eecd0fee1fb286e5d6d0d75c8928e7f0,8ec1044aedfe7719cba0e1afc2edd527c7584a324bd1063230f98e63cd6859d8,4ecd8d23a25e3a3a0d8c8e712571c1b239bbcfdbc6b6027183a93739ad309eb6,local,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,6e93b2a77e77b0294f7e97098432daa38b6723d8fb80b9ecb19a8143ccbd8130,96abcdc27017e551fa2e9132c6f05977eecd0fee1fb286e5d6d0d75c8928e7f0,8ec1044aedfe7719cba0e1afc2edd527c7584a324bd1063230f98e63cd6859d8,4ecd8d23a25e3a3a0d8c8e712571c1b239bbcfdbc6b6027183a93739ad309eb6,local,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,b2af9cfab1f8c90c0ea6e00b2e9dcdd877ab8dcd67b68517a2c114b0b8c14d08,96abcdc27017e551fa2e9132c6f05977eecd0fee1fb286e5d6d0d75c8928e7f0,8ec1044aedfe7719cba0e1afc2edd527c7584a324bd1063230f98e63cd6859d8,4ecd8d23a25e3a3a0d8c8e712571c1b239bbcfdbc6b6027183a93739ad309eb6,local,true
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,80d9b50c63ec012298ca998e1a3311bb81e6ec7db66432afca24e4a33d6d6f4b,96abcdc27017e551fa2e9132c6f05977eecd0fee1fb286e5d6d0d75c8928e7f0,8ec1044aedfe7719cba0e1afc2edd527c7584a324bd1063230f98e63cd6859d8,881f61754409290868a1f43e7d04a02d2aefb4b0764ef0adcb9defb5f6c7c577,ledger,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,78d2ff5e020b41d35d42aab470279ece47aa70da3e8be5e45a946bf93a2ea626,96abcdc27017e551fa2e9132c6f05977eecd0fee1fb286e5d6d0d75c8928e7f0,8ec1044aedfe7719cba0e1afc2edd527c7584a324bd1063230f98e63cd6859d8,881f61754409290868a1f43e7d04a02d2aefb4b0764ef0adcb9defb5f6c7c577,ledger,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,6e93b2a77e77b0294f7e97098432daa38b6723d8fb80b9ecb19a8143ccbd8130,96abcdc27017e551fa2e9132c6f05977eecd0fee1fb286e5d6d0d75c8928e7f0,8ec1044aedfe7719cba0e1afc2edd527c7584a324bd1063230f98e63cd6859d8,881f61754409290868a1f43e7d04a02d2aefb4b0764ef0adcb9defb5f6c7c577,ledger,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,b2af9cfab1f8c90c0ea6e00b2e9dcdd877ab8dcd67b68517a2c114b0b8c14d08,96abcdc27017e551fa2e9132c6f05977eecd0fee1fb286e5d6d0d75c8928e7f0,8ec1044aedfe7719cba0e1afc2edd527c7584a324bd1063230f98e63cd6859d8,881f61754409290868a1f43e7d04a02d2aefb4b0764ef0adcb9defb5f6c7c577,ledger,true
