contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,38a6836c0a0efe0e1c46a087212e103133e087d375f97ed5675793f5c9784961,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,a87ca67b68b06f585fb8f21bf95df868d579f7f6836d36b6f20fb1ebb6f5d27f,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,4e65da041c94566afa1fb32d7a6d6ad47c904a9036f612bd41283b595de53b60,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,5eb8a0a0a60aef863ad3e43ffa39d3fc058875b5fc7172c9dea47a059cfbdd72,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
vice-president/cand0,485,485,0,true,485,48517235507c48cdf95523001ffae318e7bf417d7b9fa63e860541ae644b8408,98bb2230e8a6b690dd4eb2ff20435cae5a7500c29ea41410a2dab1a3d5cd5832,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
vice-president/cand1,186,186,0,true,186,0a0781a73bb33b7e92746b0526ad67c322949c15c5bcaedb00a053301cce0511,fe7cd7b17dc83e1a801f5e775cad738206e28021773b6fb320c6bf99d3ae2663,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
vice-president/cand2,172,172,0,true,172,3ca5fd0796c9ca60e486c53650239b521b0d8c8421893e8c467e240a3c089e6d,6c00a377fca1e0b70d1419be11e65c326103c037434a2d2509edd8aacc5a1c0a,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
vice-president/cand3,157,157,0,true,157,e8060fb2062748a78d93482e02081d4d0142f20e60dd93dadf854a14ab2a4870,6edc1fccd312e93b158d1ae560ef00ffccd681fe806bb05d567f8105bfdc0f12,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
senator/cand0,480,480,0,true,480,8235ea86588938be8e1f9ac2251b0e6c8e6cd25d4e8f0bcfd6220d663f6fc33f,9e3f1057cb39fecac984d973432bb7f88771b504687eec31d1d79e9258778c46,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
senator/cand1,193,193,0,true,193,e2ead509ecf513e8eef93b4069eef84ff0a96e360eb3be3fa607530506f1b959,eccd6db38c2495c0b45486e8e5d42bcbaf0575452eac1b90a6b07f7f03093901,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
senator/cand2,173,173,0,true,173,3624296b546f2f84a7bc8d1c9fe6d465e267daa27f72128eb6cc1c4abb794337,0c54662905b1dbd6c6ece224b82bf097cdf07d460415976b4a4c2c5d23a3d817,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
senator/cand3,154,154,0,true,154,4ce38534389c49a395d768f0bb0237f573531e2f04dd9b1d07e8569fc34a0073,ccb1e3003002026173924bcb25480b9d699b62dddaa652d5b90641e9ac5d3030,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,120465021eef720fee6d5773067138516eed5ce9e005256c4a900f0b17b2c7f1,local,true
president/cand0,490,490,0,true,490,32e63d9578e4ef4924683bab0c482106fb1cb035c3ecf44d147d70cc9a5b842c,38a6836c0a0efe0e1c46a087212e103133e087d375f97ed5675793f5c9784961,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,c670391aec44bd98fbe33a8ccf23270a52b2f54f60a2a8c6322181efd072859b,ledger,true
president/cand1,180,180,0,true,180,103bcff8c6ec3ffe8d2dc5ee573ae36ac4e919fb8fa20f8adf3f73de9d81a407,a87ca67b68b06f585fb8f21bf95df868d579f7f6836d36b6f20fb1ebb6f5d27f,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,c670391aec44bd98fbe33a8ccf23270a52b2f54f60a2a8c6322181efd072859b,ledger,true
president/cand2,170,170,0,true,170,d27e86a3fef5fc796e0c83aad1a9735d32590b980133ca68e7184fe74923f803,4e65da041c94566afa1fb32d7a6d6ad47c904a9036f612bd41283b595de53b60,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,c670391aec44bd98fbe33a8ccf23270a52b2f54f60a2a8c6322181efd072859b,ledger,true
president/cand3,160,160,0,true,160,124f288e9cde61e6b965a69040d7c60405d94d494a0c5a35d65526cb980d9c01,5eb8a0a0a60aef863ad3e43ffa39d3fc058875b5fc7172c9dea47a059cfbdd72,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,c670391aec44bd98fbe33a8ccf23270a52b2f54f60a2a8c6322181efd072859b,ledger,true
vice-president/cand0,485,485,0,true,485,48517235507c48cdf95523001ffae318e7bf417d7b9fa63e860541ae644b8408,98bb2230e8a6b690dd4eb2ff20435cae5a7500c29ea41410a2dab1a3d5cd5832,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,c670391aec44bd98fbe33a8ccf23270a52b2f54f60a2a8c6322181efd072859b,ledger,true
vice-president/cand1,186,186,0,true,186,0a0781a73bb33b7e92746b0526ad67c322949c15c5bcaedb00a053301cce0511,fe7cd7b17dc83e1a801f5e775cad738206e28021773b6fb320c6bf99d3ae2663,466cd34a7ea27245d1fd6bf887d69cd200c87cd8da3ff73b924307078f5385bb,86c4b1f4b585cc4f62edac91763b6818e36c23e679a2d7b3631270787244d596,c670391aec44bd98fbe33a8ccf23270a52b2f54f60a2a8c6322181efd072859b,ledger,true
