contest,ground_truth,decoded,E,pass,published_tally,recovered_point,aggregate_ciphertext,dkg_sha256,tally_sha256,ballots_sha256,source,ledger_matches_local
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,869a133de12a03576c27264153778406972ed1dd121c489fae49e76d2312af47,c764d7e42bd0bce22ef4531564409a6b625cd2dbdba4e772faf2b01059e83108,b3f54af4c1adbfb0ef515abd15092fcdb63e48e98dd12411d018e1ab2030b3ee,570254fca22079919ae434b89b51d278e9d3b3ba094a6ebe3dc20f383965fc4d,local,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,a4f6725cf2ac52d427e42854094c6b7ad5f1bc2f94040da777e453d6a740bb28,c764d7e42bd0bce22ef4531564409a6b625cd2dbdba4e772faf2b01059e83108,b3f54af4c1adbfb0ef515abd15092fcdb63e48e98dd12411d018e1ab2030b3ee,570254fca22079919ae434b89b51d278e9d3b3ba094a6ebe3dc20f383965fc4d,local,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,a41cf266e450b97f922673c31502ffe17708b881957d15c6363741e7e8f4f76b,c764d7e42bd0bce22ef4531564409a6b625cd2dbdba4e772faf2b01059e83108,b3f54af4c1adbfb0ef515abd15092fcdb63e48e98dd12411d018e1ab2030b3ee,570254fca22079919ae434b89b51d278e9d3b3ba094a6ebe3dc20f383965fc4d,local,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,721694d3893154042e9392bbc1d80020eeccadbf50896feb1a3847f22f662d4c,c764d7e42bd0bce22ef4531564409a6b625cd2dbdba4e772faf2b01059e83108,b3f54af4c1adbfb0ef515abd15092fcdb63e48e98dd12411d018e1ab2030b3ee,570254fca22079919ae434b89b51d278e9d3b3ba094a6ebe3dc20f383965fc4d,local,true
president/cand0,4900,4900,0,true,4900,f6876c2bb5343649b058b60620e2f3167cb821c200873e3f449bea45d8aaca4b,869a133de12a03576c27264153778406972ed1dd121c489fae49e76d2312af47,c764d7e42bd0bce22ef4531564409a6b625cd2dbdba4e772faf2b01059e83108,b3f54af4c1adbfb0ef515abd15092fcdb63e48e98dd12411d018e1ab2030b3ee,ab2e0d7f5698a9c07f83ef1ff75bb7ee54f592f9acb98be7bc3eb7eaadc19c6e,ledger,true
president/cand1,1800,1800,0,true,1800,e0bed364944c8a2b650fbb270c0ba92072df4634a9ea42c6945fae74caf3cf7c,a4f6725cf2ac52d427e42854094c6b7ad5f1bc2f94040da777e453d6a740bb28,c764d7e42bd0bce22ef4531564409a6b625cd2dbdba4e772faf2b01059e83108,b3f54af4c1adbfb0ef515abd15092fcdb63e48e98dd12411d018e1ab2030b3ee,ab2e0d7f5698a9c07f83ef1ff75bb7ee54f592f9acb98be7bc3eb7eaadc19c6e,ledger,true
president/cand2,1700,1700,0,true,1700,4ed41127a57e64af2d5ce3c6c0bec59927cee256513cec91395a5d16096dd634,a41cf266e450b97f922673c31502ffe17708b881957d15c6363741e7e8f4f76b,c764d7e42bd0bce22ef4531564409a6b625cd2dbdba4e772faf2b01059e83108,b3f54af4c1adbfb0ef515abd15092fcdb63e48e98dd12411d018e1ab2030b3ee,ab2e0d7f5698a9c07f83ef1ff75bb7ee54f592f9acb98be7bc3eb7eaadc19c6e,ledger,true
president/cand3,1600,1600,0,true,1600,cea40b6392a4596d2992fcd2ab9d14be9146283bf9048a81a9f3db7c3231024e,721694d3893154042e9392bbc1d80020eeccadbf50896feb1a3847f22f662d4c,c764d7e42bd0bce22ef4531564409a6b625cd2dbdba4e772faf2b01059e83108,b3f54af4c1adbfb0ef515abd15092fcdb63e48e98dd12411d018e1ab2030b3ee,ab2e0d7f5698a9c07f83ef1ff75bb7ee54f592f9acb98be7bc3eb7eaadc19c6e,ledger,true
